face_id,theta_true
BF-007,0.340107067346489
BF-242,-1.004594118648438
BF-255,0.7858411833985149
BM-211,0.9759547039832716
BM-212,-1.9156452010617788
BM-213,-1.2667895192702605
BM-214,0.16323039075934304
BM-215,-0.2808526047515245
BM-216,0.01858883008776887
BM-217,-0.8176539399815224
BM-218,0.9147879624548862
BM-219,0.813181923021006
BM-221,0.10142068515327371
BM-222,1.1626311945600905
BM-223,0.5028993298441032
BM-224,-0.8239024752911805
BM-225,0.40414077167455653
BM-226,-0.9234926132369412
BM-227,0.9138402888993302
BM-228,-0.014535923394195231
BM-229,-0.1494723759532029
BM-231,-0.6455395568118837
BM-236,1.2579313262660878
BM-237,-0.11913949447674449
BM-239,-0.3929378345710496
