face_id,n_appearances,n_wins,theta,standard_error,rank,weight,image_path,participant_id
BF-007,24,16,0.6634460946105768,0.4509949877222942,7,0.05388499766070035,data/raw/cfd/images/CFD-BF-007-001-N.jpg,SIM_001
BF-242,24,5,-1.1860662908029134,0.4785350339166581,22,0.008476856770395178,data/raw/cfd/images/CFD-BF-242-154-N.jpg,SIM_001
BF-255,24,16,0.6634460946105767,0.45099498772229396,8,0.053884997660700346,data/raw/cfd/images/CFD-BF-255-140-N.jpg,SIM_001
BM-211,24,19,1.19427703593579,0.4742258655467564,2,0.09162306524442201,data/raw/cfd/images/CFD-BM-211-174-N.jpg,SIM_001
BM-212,24,5,-1.1860662908029134,0.47853503391665825,22,0.008476856770395178,data/raw/cfd/images/CFD-BM-212-117-N.jpg,SIM_001
BM-213,24,2,-1.825855034641286,0.5282309692910383,25,0.004470726723539322,data/raw/cfd/images/CFD-BM-213-134-N.jpg,SIM_001
BM-214,24,19,1.19427703593579,0.4742258655467565,2,0.09162306524442201,data/raw/cfd/images/CFD-BM-214-075-N.jpg,SIM_001
BM-215,24,6,-0.9981719215952918,0.4682033378053223,21,0.01022907429303892,data/raw/cfd/images/CFD-BM-215-155-N.jpg,SIM_001
BM-216,24,9,-0.4768140907550377,0.4487976536338446,17,0.017228963934918233,data/raw/cfd/images/CFD-BM-216-088-N.jpg,SIM_001
BM-217,24,9,-0.4768140907550378,0.44879765363384466,18,0.017228963934918233,data/raw/cfd/images/CFD-BM-217-082-N.jpg,SIM_001
BM-218,24,19,1.19427703593579,0.4742258655467565,2,0.09162306524442201,data/raw/cfd/images/CFD-BM-218-132-N.jpg,SIM_001
BM-219,24,16,0.6634460946105767,0.450994987722294,8,0.053884997660700346,data/raw/cfd/images/CFD-BM-219-141-N.jpg,SIM_001
BM-221,24,14,0.33392838344384657,0.4440207938837442,11,0.03875789168569534,data/raw/cfd/images/CFD-BM-221-198-N.jpg,SIM_001
BM-222,24,18,1.0102568147118727,0.46439858933408307,5,0.07622296709591272,data/raw/cfd/images/CFD-BM-222-173-N.jpg,SIM_001
BM-223,24,15,0.49721511687758857,0.4468029069553994,10,0.045632543029103405,data/raw/cfd/images/CFD-BM-223-171-N.jpg,SIM_001
BM-224,24,3,-1.5964428523392824,0.5077326423941116,24,0.005623550104619477,data/raw/cfd/images/CFD-BM-224-073-N.jpg,SIM_001
BM-225,24,11,-0.14949925190482286,0.4432035956314085,15,0.023900676312245205,data/raw/cfd/images/CFD-BM-225-154-N.jpg,SIM_001
BM-226,24,8,-0.6452308882269335,0.45362627628746455,19,0.014558501518671127,data/raw/cfd/images/CFD-BM-226-276-N.jpg,SIM_001
BM-227,24,17,0.8339424924722593,0.4567749856111704,6,0.0639018620165241,data/raw/cfd/images/CFD-BM-227-191-N.jpg,SIM_001
BM-228,24,12,0.011618363215183152,0.4422667222602627,13,0.028079067537172542,data/raw/cfd/images/CFD-BM-228-145-N.jpg,SIM_001
BM-229,24,11,-0.14949925190482283,0.44320359563140754,14,0.023900676312245205,data/raw/cfd/images/CFD-BM-229-209-N.jpg,SIM_001
BM-231,24,10,-0.3119552420208055,0.4453600771652978,16,0.020316853555370763,data/raw/cfd/images/CFD-BM-231-155-N.jpg,SIM_001
BM-236,24,20,1.3883736754527936,0.4867620984137652,1,0.1112499735705458,data/raw/cfd/images/CFD-BM-236-248-N.jpg,SIM_001
BM-237,24,13,0.17241961756982518,0.44253124729928334,12,0.032977503787607484,data/raw/cfd/images/CFD-BM-237-188-N.jpg,SIM_001
BM-239,24,7,-0.8185086496333224,0.46001409580802183,20,0.012242302331714661,data/raw/cfd/images/CFD-BM-239-136-N.jpg,SIM_001
BF-007,24,15,0.4721233895965034,0.44039758576322613,7,0.04747701886527825,data/raw/cfd/images/CFD-BF-007-001-N.jpg,SIM_002
BF-242,24,7,-0.7944261734866547,0.4529101559175533,21,0.013379132506646036,data/raw/cfd/images/CFD-BF-242-154-N.jpg,SIM_002
BF-255,24,14,0.314480695238411,0.4372817432638553,8,0.04055272933729741,data/raw/cfd/images/CFD-BF-255-140-N.jpg,SIM_002
BM-211,24,18,0.9706112341412007,0.4595480223971452,2,0.07815809428021414,data/raw/cfd/images/CFD-BM-211-174-N.jpg,SIM_002
BM-212,24,3,-1.5494504475601054,0.5021671504677496,25,0.006288181652374116,data/raw/cfd/images/CFD-BM-212-117-N.jpg,SIM_002
BM-213,24,5,-1.1499332466233319,0.47196177162758773,23,0.009376336712720814,data/raw/cfd/images/CFD-BM-213-134-N.jpg,SIM_002
BM-214,24,9,-0.46532051334916996,0.4414722311819091,17,0.01859331072619051,data/raw/cfd/images/CFD-BM-214-075-N.jpg,SIM_002
BM-215,24,13,0.15888183376062373,0.4355374175748534,12,0.03470918067640651,data/raw/cfd/images/CFD-BM-215-155-N.jpg,SIM_002
BM-216,24,12,0.004189110358891339,0.43509094991712777,16,0.029734604473798363,data/raw/cfd/images/CFD-BM-216-088-N.jpg,SIM_002
BM-217,24,8,-0.6274060175133457,0.4463779677539118,19,0.015811165592074634,data/raw/cfd/images/CFD-BM-217-082-N.jpg,SIM_002
BM-218,24,17,0.7986638244691645,0.45130459093876957,4,0.06581094852684054,data/raw/cfd/images/CFD-BM-218-132-N.jpg,SIM_002
BM-219,24,13,0.1588818337606237,0.43553741757485376,14,0.03470918067640651,data/raw/cfd/images/CFD-BM-219-141-N.jpg,SIM_002
BM-221,24,13,0.15888183376062373,0.4355374175748538,12,0.03470918067640651,data/raw/cfd/images/CFD-BM-221-198-N.jpg,SIM_002
BM-222,24,22,1.770401053332042,0.5220321964397129,1,0.173907481856799,data/raw/cfd/images/CFD-BM-222-173-N.jpg,SIM_002
BM-223,24,14,0.3144806952384109,0.4372817432638556,9,0.04055272933729741,data/raw/cfd/images/CFD-BM-223-171-N.jpg,SIM_002
BM-224,24,5,-1.1499332466233319,0.47196177162758757,23,0.009376336712720814,data/raw/cfd/images/CFD-BM-224-073-N.jpg,SIM_002
BM-225,24,14,0.3144806952384108,0.43728174326385555,11,0.04055272933729741,data/raw/cfd/images/CFD-BM-225-154-N.jpg,SIM_002
BM-226,24,5,-1.1499332466233316,0.4719617716275876,22,0.009376336712720814,data/raw/cfd/images/CFD-BM-226-276-N.jpg,SIM_002
BM-227,24,16,0.6330498082899776,0.4450096783836841,6,0.05576643690687781,data/raw/cfd/images/CFD-BM-227-191-N.jpg,SIM_002
BM-228,24,16,0.6330498082899777,0.4450096783836841,5,0.055766436906877825,data/raw/cfd/images/CFD-BM-228-145-N.jpg,SIM_002
BM-229,24,13,0.15888183376062368,0.4355374175748539,15,0.03470918067640651,data/raw/cfd/images/CFD-BM-229-209-N.jpg,SIM_002
BM-231,24,7,-0.7944261734866546,0.4529101559175534,20,0.013379132506646036,data/raw/cfd/images/CFD-BM-231-155-N.jpg,SIM_002
BM-236,24,18,0.9706112341412007,0.4595480223971453,2,0.07815809428021414,data/raw/cfd/images/CFD-BM-236-248-N.jpg,SIM_002
BM-237,24,9,-0.46532051334916996,0.441472231181909,17,0.01859331072619051,data/raw/cfd/images/CFD-BM-237-188-N.jpg,SIM_002
BM-239,24,14,0.3144806952384109,0.4372817432638556,9,0.04055272933729741,data/raw/cfd/images/CFD-BM-239-136-N.jpg,SIM_002
BF-007,24,15,0.45980943230246435,0.4358757377586726,5,0.049591417755538866,data/raw/cfd/images/CFD-BF-007-001-N.jpg,SIM_003
BF-242,24,8,-0.6108840620871726,0.44177492704469806,20,0.01699848623765694,data/raw/cfd/images/CFD-BF-242-154-N.jpg,SIM_003
BF-255,24,14,0.30611080174946603,0.43259045395190143,8,0.04252614907515038,data/raw/cfd/images/CFD-BF-255-140-N.jpg,SIM_003
BM-211,24,15,0.45980943230246424,0.43587573775867294,7,0.04959141775553886,data/raw/cfd/images/CFD-BM-211-174-N.jpg,SIM_003
BM-212,24,2,-1.7404711239854709,0.5220447446390428,25,0.005493344306476841,data/raw/cfd/images/CFD-BM-212-117-N.jpg,SIM_003
BM-213,24,8,-0.6108840620871727,0.4417749270446981,22,0.01699848623765693,data/raw/cfd/images/CFD-BM-213-134-N.jpg,SIM_003
BM-214,24,13,0.15458607848159064,0.4307236316640494,13,0.036546829411165466,data/raw/cfd/images/CFD-BM-214-075-N.jpg,SIM_003
BM-215,24,12,0.00405878092285366,0.43020333597555505,16,0.031439565209713805,data/raw/cfd/images/CFD-BM-215-155-N.jpg,SIM_003
BM-216,24,13,0.15458607848159067,0.43072363166404953,10,0.036546829411165466,data/raw/cfd/images/CFD-BM-216-088-N.jpg,SIM_003
BM-217,24,5,-1.1226676483276108,0.4684119618248848,24,0.010189326073750277,data/raw/cfd/images/CFD-BM-217-082-N.jpg,SIM_003
BM-218,24,18,0.9476309074618674,0.4558283846022656,2,0.08077271838776681,data/raw/cfd/images/CFD-BM-218-132-N.jpg,SIM_003
BM-219,24,12,0.0040587809228537445,0.43020333597555555,15,0.03143956520971381,data/raw/cfd/images/CFD-BM-219-141-N.jpg,SIM_003
