participant_id,face_id,theta,rank,standard_error,weight
SIM_001,BF-007,0.6634460946105768,7,0.4509949877222942,0.05388499766070035
SIM_001,BF-242,-1.1860662908029134,22,0.4785350339166581,0.008476856770395178
SIM_001,BF-255,0.6634460946105767,8,0.45099498772229396,0.053884997660700346
SIM_001,BM-211,1.19427703593579,2,0.4742258655467564,0.09162306524442201
SIM_001,BM-212,-1.1860662908029134,22,0.47853503391665825,0.008476856770395178
SIM_001,BM-213,-1.825855034641286,25,0.5282309692910383,0.004470726723539322
SIM_001,BM-214,1.19427703593579,2,0.4742258655467565,0.09162306524442201
SIM_001,BM-215,-0.9981719215952918,21,0.4682033378053223,0.01022907429303892
SIM_001,BM-216,-0.4768140907550377,17,0.4487976536338446,0.017228963934918233
SIM_001,BM-217,-0.4768140907550378,18,0.44879765363384466,0.017228963934918233
SIM_001,BM-218,1.19427703593579,2,0.4742258655467565,0.09162306524442201
SIM_001,BM-219,0.6634460946105767,8,0.450994987722294,0.053884997660700346
SIM_001,BM-221,0.33392838344384657,11,0.4440207938837442,0.03875789168569534
SIM_001,BM-222,1.0102568147118727,5,0.46439858933408307,0.07622296709591272
SIM_001,BM-223,0.49721511687758857,10,0.4468029069553994,0.045632543029103405
SIM_001,BM-224,-1.5964428523392824,24,0.5077326423941116,0.005623550104619477
SIM_001,BM-225,-0.14949925190482286,15,0.4432035956314085,0.023900676312245205
SIM_001,BM-226,-0.6452308882269335,19,0.45362627628746455,0.014558501518671127
SIM_001,BM-227,0.8339424924722593,6,0.4567749856111704,0.0639018620165241
SIM_001,BM-228,0.011618363215183152,13,0.4422667222602627,0.028079067537172542
SIM_001,BM-229,-0.14949925190482283,14,0.44320359563140754,0.023900676312245205
SIM_001,BM-231,-0.3119552420208055,16,0.4453600771652978,0.020316853555370763
SIM_001,BM-236,1.3883736754527936,1,0.4867620984137652,0.1112499735705458
SIM_001,BM-237,0.17241961756982518,12,0.44253124729928334,0.032977503787607484
SIM_001,BM-239,-0.8185086496333224,20,0.46001409580802183,0.012242302331714661
SIM_002,BF-007,0.4721233895965034,7,0.44039758576322613,0.04747701886527825
SIM_002,BF-242,-0.7944261734866547,21,0.4529101559175533,0.013379132506646036
SIM_002,BF-255,0.314480695238411,8,0.4372817432638553,0.04055272933729741
SIM_002,BM-211,0.9706112341412007,2,0.4595480223971452,0.07815809428021414
SIM_002,BM-212,-1.5494504475601054,25,0.5021671504677496,0.006288181652374116
SIM_002,BM-213,-1.1499332466233319,23,0.47196177162758773,0.009376336712720814
SIM_002,BM-214,-0.46532051334916996,17,0.4414722311819091,0.01859331072619051
SIM_002,BM-215,0.15888183376062373,12,0.4355374175748534,0.03470918067640651
SIM_002,BM-216,0.004189110358891339,16,0.43509094991712777,0.029734604473798363
SIM_002,BM-217,-0.6274060175133457,19,0.4463779677539118,0.015811165592074634
SIM_002,BM-218,0.7986638244691645,4,0.45130459093876957,0.06581094852684054
SIM_002,BM-219,0.1588818337606237,14,0.43553741757485376,0.03470918067640651
SIM_002,BM-221,0.15888183376062373,12,0.4355374175748538,0.03470918067640651
SIM_002,BM-222,1.770401053332042,1,0.5220321964397129,0.173907481856799
SIM_002,BM-223,0.3144806952384109,9,0.4372817432638556,0.04055272933729741
SIM_002,BM-224,-1.1499332466233319,23,0.47196177162758757,0.009376336712720814
SIM_002,BM-225,0.3144806952384108,11,0.43728174326385555,0.04055272933729741
SIM_002,BM-226,-1.1499332466233316,22,0.4719617716275876,0.009376336712720814
SIM_002,BM-227,0.6330498082899776,6,0.4450096783836841,0.05576643690687781
SIM_002,BM-228,0.6330498082899777,5,0.4450096783836841,0.055766436906877825
SIM_002,BM-229,0.15888183376062368,15,0.4355374175748539,0.03470918067640651
SIM_002,BM-231,-0.7944261734866546,20,0.4529101559175534,0.013379132506646036
SIM_002,BM-236,0.9706112341412007,2,0.4595480223971453,0.07815809428021414
SIM_002,BM-237,-0.46532051334916996,17,0.441472231181909,0.01859331072619051
SIM_002,BM-239,0.3144806952384109,9,0.4372817432638556,0.04055272933729741
SIM_003,BF-007,0.45980943230246435,5,0.4358757377586726,0.049591417755538866
SIM_003,BF-242,-0.6108840620871726,20,0.44177492704469806,0.01699848623765694
SIM_003,BF-255,0.30611080174946603,8,0.43259045395190143,0.04252614907515038
SIM_003,BM-211,0.45980943230246424,7,0.43587573775867294,0.04959141775553886
SIM_003,BM-212,-1.7404711239854709,25,0.5220447446390428,0.005493344306476841
SIM_003,BM-213,-0.6108840620871727,22,0.4417749270446981,0.01699848623765693
SIM_003,BM-214,0.15458607848159064,13,0.4307236316640494,0.036546829411165466
SIM_003,BM-215,0.00405878092285366,16,0.43020333597555505,0.031439565209713805
SIM_003,BM-216,0.15458607848159067,10,0.43072363166404953,0.036546829411165466
SIM_003,BM-217,-1.1226676483276108,24,0.4684119618248848,0.010189326073750277
SIM_003,BM-218,0.9476309074618674,2,0.4558283846022656,0.08077271838776681
SIM_003,BM-219,0.0040587809228537445,15,0.43020333597555555,0.03143956520971381
SIM_003,BM-221,0.15458607848159067,10,0.4307236316640495,0.036546829411165466
SIM_003,BM-222,0.6169593118830632,3,0.44070433804453735,0.05803043818708371
SIM_003,BM-223,0.306110801749466,9,0.4325904539519012,0.04252614907515038
SIM_003,BM-224,-0.45285388079956307,18,0.43669771231598514,0.0199086533024712
SIM_003,BM-225,0.1545860784815906,14,0.43072363166404953,0.036546829411165466
SIM_003,BM-226,-0.9439555221937392,23,0.4573166656496934,0.012183137641496537
SIM_003,BM-227,0.6169593118830631,4,0.4407043380445374,0.05803043818708371
SIM_003,BM-228,0.45980943230246435,5,0.4358757377586729,0.049591417755538866
SIM_003,BM-229,0.15458607848159067,10,0.43072363166404953,0.036546829411165466
SIM_003,BM-231,-0.14659935869928775,17,0.4310045492752593,0.02704248096515214
SIM_003,BM-236,1.7378062151787737,1,0.5203512036697558,0.17800552204110448
SIM_003,BM-237,-0.4528538807995631,19,0.4366977123159849,0.0199086533024712
SIM_003,BM-239,-0.6108840620871726,20,0.4417749270446982,0.01699848623765694
SIM_004,BF-007,-0.1486313117243037,16,0.43840252008697694,0.025004462216580474
SIM_004,BF-242,-0.8013043934588645,21,0.4555912058618485,0.013018627492088554
SIM_004,BF-255,0.4821830049094707,7,0.4425739969871382,0.04698688941774181
SIM_004,BM-211,1.5651502777887782,1,0.5012069382750253,0.1387724979843921
SIM_004,BM-212,-1.7932048954132054,25,0.5259367981418948,0.004828233732420695
SIM_004,BM-213,-1.356869248652482,24,0.48805374350673136,0.0074694125937355485
SIM_004,BM-214,0.6449076835323265,6,0.4470581701936734,0.0552900681455753
SIM_004,BM-215,-0.4676216333318555,18,0.4440640599607875,0.01817530811570007
SIM_004,BM-216,0.008337416887099287,13,0.4375203475212221,0.02925419628770608
SIM_004,BM-217,-1.1616144860476763,22,0.47469220799975986,0.00907997213050493
SIM_004,BM-218,0.8121935707539473,5,0.4531916920426916,0.06535795619408322
SIM_004,BM-219,0.4821830049094705,9,0.44257399698713823,0.04698688941774181
SIM_004,BM-221,0.00833741688709928,14,0.4375203475212227,0.02925419628770608
SIM_004,BM-222,1.1672261318395127,3,0.47154097407761447,0.0932152878689282
SIM_004,BM-223,0.16506961531765663,11,0.43789824176313336,0.034218116452391666
SIM_004,BM-224,-0.8013043934588644,20,0.4555912058618485,0.01301862749208856
SIM_004,BM-225,0.3226434652752139,10,0.4395600903619838,0.04005802686789865
SIM_004,BM-226,-0.4676216333318556,19,0.4440640599607875,0.01817530811570007
SIM_004,BM-227,0.9856508957183899,4,0.4612318771633146,0.07773740194329307
SIM_004,BM-228,0.16506961531765663,11,0.43789824176313336,0.034218116452391666
SIM_004,BM-229,-0.3069121713059203,17,0.440563075390239,0.021344059086450387
SIM_004,BM-231,-1.1616144860476765,23,0.47469220799976003,0.00907997213050493
SIM_004,BM-236,1.167226131839513,2,0.47154097407761447,0.09321528786892821
SIM_004,BM-237,0.008337416887099212,15,0.437520347521223,0.029254196287706074
SIM_004,BM-239,0.4821830049094707,7,0.4425739969871381,0.04698688941774181
SIM_005,BF-007,0.006982518389950377,14,0.43550039298201615,0.030740955695748216
SIM_005,BF-242,-0.626085275032074,17,0.4466370712173112,0.016322230840496926
SIM_005,BF-255,1.1533143562782417,1,0.4692025118240635,0.09673039397899641
SIM_005,BM-211,0.8022487613715739,4,0.4509950659691657,0.06809215921994521
SIM_005,BM-212,-1.54800530562297,25,0.5018839917107395,0.006492242504158109
SIM_005,BM-213,-1.148863660647933,23,0.4718850981699023,0.009676977862315016
SIM_005,BM-214,0.1620660639899202,12,0.43589366405060465,0.03589792063815986
SIM_005,BM-215,-0.793299825412633,20,0.4530667679103138,0.013808902370278223
SIM_005,BM-216,-0.14830788140672774,15,0.43633592167270074,0.02631937677663465
SIM_005,BM-217,-1.148863660647933,23,0.4718850981699022,0.009676977862315016
SIM_005,BM-218,0.8022487613715739,4,0.4509950659691657,0.06809215921994521
SIM_005,BM-219,0.16206606398992013,13,0.4358936640506047,0.03589792063815986
SIM_005,BM-221,0.3179856824367359,11,0.4375411197432002,0.04195505773007404
SIM_005,BM-222,0.6368025861060659,9,0.44493656224389266,0.05770915895602019
SIM_005,BM-223,0.636802586106066,6,0.4449365622438927,0.05770915895602019
SIM_005,BM-224,-0.30484494614019514,16,0.438418936757959,0.02250569442497366
SIM_005,BM-225,0.636802586106066,6,0.44493656224389266,0.05770915895602019
SIM_005,BM-226,-0.626085275032074,17,0.446637071217311,0.016322230840496926
SIM_005,BM-227,0.973770301121291,3,0.4589579341399107,0.08083286355529752
SIM_005,BM-228,0.636802586106066,6,0.4449365622438927,0.05770915895602019
SIM_005,BM-229,-0.793299825412633,20,0.45306676791031375,0.013808902370278223
SIM_005,BM-231,-0.793299825412633,20,0.45306676791031375,0.013808902370278223
SIM_005,BM-236,1.1533143562782417,1,0.46920251182406353,0.09673039397899641
SIM_005,BM-237,-0.626085275032074,17,0.44663707121731105,0.016322230840496926
SIM_005,BM-239,0.47583354614816725,10,0.44051421636613536,0.04912887045787464
SIM_006,BF-007,0.3160359283619338,10,0.4360787812975839,0.04227211839940013
SIM_006,BF-242,-1.5396394481125417,24,0.5020578756854266,0.0066091321566526485
SIM_006,BF-255,0.9676770552069455,3,0.45807285016448984,0.08110696637994129
SIM_006,BM-211,0.4726535290110584,7,0.4391575110865944,0.04943928395231131
SIM_006,BM-212,-1.1406116618177362,23,0.4713716047978694,0.00985008553645678
SIM_006,BM-213,-1.5396394481125417,24,0.5020578756854268,0.0066091321566526485
SIM_006,BM-214,0.6325072435852243,6,0.4437143887442486,0.058009050672697925
SIM_006,BM-215,0.007721327170537626,13,0.43393133124450295,0.03105665533858137
SIM_006,BM-216,-0.6201406837079577,20,0.4453782134303461,0.016575921282142702
SIM_006,BM-217,-0.3013584070202509,17,0.43690939804735957,0.022799381168236075
SIM_006,BM-218,0.47265352901105834,9,0.4391575110865945,0.04943928395231131
SIM_006,BM-219,1.1465712167235298,1,0.46851061091467616,0.09699534790313678
SIM_006,BM-221,0.16143361680349172,11,0.4343591099700475,0.03621688395418753
SIM_006,BM-222,0.9676770552069455,3,0.4580728501644902,0.08110696637994129
SIM_006,BM-223,-0.30135840702025085,16,0.4369093980473594,0.022799381168236075
SIM_006,BM-224,-0.4589362674880882,18,0.4404047922992204,0.01947546626869673
SIM_006,BM-225,-0.14618198032118906,15,0.43477402835610124,0.026626576153929184
SIM_006,BM-226,-0.6201406837079577,20,0.44537821343034595,0.016575921282142702
SIM_006,BM-227,0.9676770552069455,3,0.45807285016449023,0.08110696637994129
SIM_006,BM-228,-0.4589362674880882,18,0.4404047922992204,0.01947546626869673
SIM_006,BM-229,-0.14618198032118904,14,0.4347740283561011,0.026626576153929184
SIM_006,BM-231,-0.6201406837079577,20,0.445378213430346,0.016575921282142702
SIM_006,BM-236,1.1465712167235298,1,0.46851061091467605,0.09699534790313678
